San Diego Chargers,2nd,3rd,3,CAR,49,C,Newton,Pass,0
San Diego Chargers,2nd,1st,10,SD,36,C,Newton,Pass,-8
San Diego Chargers,2nd,2nd,18,SD,44,C,Newton,Pass,0
San Diego Chargers,2nd,3rd,18,SD,44,C,Newton,Pass,0
San Diego Chargers,2nd,1st,10,CAR,24,C,Newton,Pass,18
San Diego Chargers,2nd,1st,10,CAR,42,C,Newton,Pass,4
San Diego Chargers,2nd,2nd,6,CAR,46,C,Newton,Pass,0
San Diego Chargers,2nd,3rd,6,CAR,46,C,Newton,Pass,12
San Diego Chargers,2nd,1st,10,SD,42,C,Newton,Pass,11
San Diego Chargers,2nd,1st,10,SD,31,C,Newton,Pass,26
San Diego Chargers,2nd,1st,15,SD,15,C,Newton,Pass,0
San Diego Chargers,2nd,2nd,15,SD,15,C,Newton,Pass,0
San Diego Chargers,2nd,3rd,15,SD,15,C,Newton,Pass,0
San Diego Chargers,3rd,1st,10,CAR,44,D,Williams,Rush,3
San Diego Chargers,3rd,2nd,7,CAR,47,C,Newton,Pass,9
San Diego Chargers,3rd,1st,10,SD,44,C,Newton,Pass,12
San Diego Chargers,3rd,1st,10,SD,32,D,Williams,Rush,9
San Diego Chargers,3rd,2nd,1,SD,23,D,Williams,Rush,9
San Diego Chargers,3rd,1st,10,SD,14,D,Williams,Rush,9
San Diego Chargers,3rd,2nd,1,SD,5,D,Williams,Rush,1
San Diego Chargers,3rd,1st,4,SD,4,C,Newton,Pass,4
San Diego Chargers,3rd,1st,10,CAR,38,D,Williams,Rush,3
San Diego Chargers,3rd,2nd,7,CAR,41,M,Tolbert,Rush,4
San Diego Chargers,3rd,3rd,3,CAR,45,C,Newton,Pass,0
San Diego Chargers,3rd,1st,10,CAR,20,D,Williams,Rush,2
San Diego Chargers,3rd,2nd,8,CAR,22,C,Newton,Pass,7
San Diego Chargers,3rd,3rd,1,CAR,29,M,Tolbert,Rush,3
San Diego Chargers,4th,1st,10,CAR,18,D,Williams,Rush,0
San Diego Chargers,4th,3rd,14,CAR,14,M,Tolbert,Rush,6
San Diego Chargers,4th,1st,10,CAR,23,D,Williams,Rush,8
San Diego Chargers,4th,2nd,2,CAR,31,D,Williams,Rush,1
San Diego Chargers,4th,3rd,1,CAR,32,D,Williams,Rush,1
San Diego Chargers,4th,1st,10,CAR,33,D,Williams,Rush,0
San Diego Chargers,4th,2nd,10,CAR,33,M,Tolbert,Rush,13
San Diego Chargers,4th,1st,10,CAR,46,D,Williams,Rush,1
San Diego Chargers,4th,2nd,9,CAR,47,C,Newton,Pass,5
San Diego Chargers,4th,3rd,4,SD,48,D,Williams,Rush,7
San Diego Chargers,4th,1st,10,SD,41,A,Smith,Rush,-2
San Diego Chargers,4th,2nd,12,SD,43,A,Smith,Rush,3
San Diego Chargers,4th,3rd,9,SD,40,A,Smith,Rush,-1
New York Giants,1st,1st,10,CAR,18,D,Williams,Rush,5
New York Giants,1st,2nd,5,CAR,23,C,Newton,Pass,0
New York Giants,1st,1st,10,CAR,26,C,Newton,Pass,23
New York Giants,1st,1st,10,CAR,49,D,Williams,Rush,7
New York Giants,1st,2nd,3,NYG,44,D,Williams,Rush,0
New York Giants,1st,3rd,3,NYG,44,C,Newton,Rush,0
New York Giants,1st,1st,10,CAR,18,C,Newton,Pass,0
New York Giants,1st,2nd,10,CAR,18,D,Williams,Rush,16
New York Giants,1st,1st,10,CAR,34,D,Williams,Rush,5
New York Giants,1st,2nd,5,CAR,39,C,Newton,Rush,0
New York Giants,1st,3rd,5,CAR,39,C,Newton,Pass,0
New York Giants,2nd,1st,10,CAR,21,C,Newton,Pass,0
New York Giants,2nd,2nd,10,CAR,21,C,Newton,Pass,0
New York Giants,2nd,3rd,10,CAR,21,C,Newton,Pass,27
New York Giants,2nd,1st,10,CAR,48,D,Williams,Rush,7
New York Giants,2nd,2nd,3,NYG,45,D,Williams,Rush,0
New York Giants,2nd,3rd,3,NYG,45,C,Newton,Pass,-9
New York Giants,2nd,1st,10,CAR,20,C,Newton,Pass,13
New York Giants,2nd,1st,10,CAR,33,C,Newton,Pass,18
New York Giants,2nd,1st,10,NYG,49,C,Newton,Pass,9
New York Giants,2nd,2nd,1,NYG,40,M,Tolbert,Rush,1
New York Giants,2nd,1st,10,NYG,39,C,Newton,Pass,0
New York Giants,2nd,1st,10,CAR,7,M,Tolbert,Rush,4
